### CMD: kubectl -n cert-manager logs deploy/cert-manager --tail=200
### TIME: 2026-02-09T10:28:42Z
I0207 03:20:56.035076       1 controller.go:251] "cert-manager/controller/build-context: configured acme dns01 nameservers" nameservers=["10.100.0.10:53"]
W0207 03:20:56.035452       1 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I0207 03:20:56.069780       1 controller.go:72] "cert-manager/controller: enabled controllers: [certificaterequests-approver certificaterequests-issuer-acme certificaterequests-issuer-ca certificaterequests-issuer-selfsigned certificaterequests-issuer-vault certificaterequests-issuer-venafi certificates-issuing certificates-key-manager certificates-metrics certificates-readiness certificates-request-manager certificates-revision-manager certificates-trigger challenges clusterissuers ingress-shim issuers orders]"
I0207 03:20:56.070723       1 controller.go:145] "cert-manager/controller: starting leader election"
I0207 03:20:56.075861       1 leaderelection.go:250] attempting to acquire leader lease kube-system/cert-manager-controller...
I0207 03:20:56.077661       1 controller.go:93] "cert-manager/controller: starting metrics server" address="[::]:9402"
I0207 03:20:56.083761       1 controller.go:138] "cert-manager/controller: starting healthz server" address="[::]:9403"
I0207 03:20:56.127030       1 leaderelection.go:260] successfully acquired lease kube-system/cert-manager-controller
I0207 03:20:56.127427       1 controller.go:192] "cert-manager/controller: not starting controller as it's disabled" controller="certificatesigningrequests-issuer-ca"
I0207 03:20:56.138383       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificates-readiness"
I0207 03:20:56.138478       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificaterequests-issuer-selfsigned"
I0207 03:20:56.138511       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificates-revision-manager"
I0207 03:20:56.138564       1 controller.go:215] "cert-manager/controller: starting controller" controller="ingress-shim"
I0207 03:20:56.138925       1 controller.go:192] "cert-manager/controller: not starting controller as it's disabled" controller="certificatesigningrequests-issuer-acme"
I0207 03:20:56.140002       1 controller.go:192] "cert-manager/controller: not starting controller as it's disabled" controller="certificatesigningrequests-issuer-venafi"
